Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-26 00:00:00+00:00,26474.181640625,26916.669921875,26343.94921875,26719.291015625,12711619225,0.0,0.0
2023-05-27 00:00:00+00:00,26720.181640625,26888.8828125,26621.140625,26868.353515625,7892015141,0.0,0.0
2023-05-28 00:00:00+00:00,26871.158203125,28193.44921875,26802.751953125,28085.646484375,14545229578,0.0,0.0
2023-05-29 00:00:00+00:00,28075.591796875,28432.0390625,27563.876953125,27745.884765625,15181308984,0.0,0.0
2023-05-30 00:00:00+00:00,27745.123046875,28044.759765625,27588.501953125,27702.349609375,13251081851,0.0,0.0
2023-05-31 00:00:00+00:00,27700.529296875,27831.677734375,26866.453125,27219.658203125,15656371534,0.0,0.0
2023-06-01 00:00:00+00:00,27218.412109375,27346.10546875,26671.720703125,26819.97265625,14678970415,0.0,0.0
2023-06-02 00:00:00+00:00,26824.556640625,27303.861328125,26574.64453125,27249.58984375,14837415000,0.0,0.0
2023-06-03 00:00:00+00:00,27252.32421875,27317.052734375,26958.00390625,27075.12890625,8385597470,0.0,0.0
2023-06-04 00:00:00+00:00,27075.123046875,27407.01953125,26968.224609375,27119.06640625,9360912318,0.0,0.0
2023-06-05 00:00:00+00:00,27123.109375,27129.982421875,25445.16796875,25760.09765625,21513292646,0.0,0.0
2023-06-06 00:00:00+00:00,25732.109375,27313.8203125,25434.8671875,27238.783203125,21929670693,0.0,0.0
2023-06-07 00:00:00+00:00,27235.650390625,27332.181640625,26146.98828125,26345.998046875,19530045082,0.0,0.0
2023-06-08 00:00:00+00:00,26347.654296875,26797.513671875,26246.6640625,26508.216796875,11904824295,0.0,0.0
2023-06-09 00:00:00+00:00,26505.923828125,26770.2890625,26339.314453125,26480.375,11015551640,0.0,0.0
2023-06-10 00:00:00+00:00,26481.76171875,26531.044921875,25501.8359375,25851.240234375,19872933189,0.0,0.0
2023-06-11 00:00:00+00:00,25854.03125,26203.439453125,25668.986328125,25940.16796875,10732609603,0.0,0.0
2023-06-12 00:00:00+00:00,25934.28515625,26087.919921875,25675.197265625,25902.5,11677889997,0.0,0.0
2023-06-13 00:00:00+00:00,25902.94140625,26376.3515625,25728.365234375,25918.728515625,14143474486,0.0,0.0
2023-06-14 00:00:00+00:00,25920.2578125,26041.80078125,24902.15234375,25124.67578125,14265717766,0.0,0.0
2023-06-15 00:00:00+00:00,25121.673828125,25735.30859375,24797.16796875,25576.39453125,15837384409,0.0,0.0
2023-06-16 00:00:00+00:00,25575.283203125,26463.173828125,25245.357421875,26327.462890625,16324646965,0.0,0.0
2023-06-17 00:00:00+00:00,26328.6796875,26769.39453125,26174.4921875,26510.67578125,11090276850,0.0,0.0
2023-06-18 00:00:00+00:00,26510.45703125,26675.92578125,26325.890625,26336.212890625,9565695129,0.0,0.0
2023-06-19 00:00:00+00:00,26335.44140625,26984.611328125,26312.83203125,26851.029296875,12826986222,0.0,0.0
2023-06-20 00:00:00+00:00,26841.6640625,28388.96875,26668.791015625,28327.48828125,22211859147,0.0,0.0
2023-06-21 00:00:00+00:00,28311.310546875,30737.330078125,28283.41015625,30027.296875,33346760979,0.0,0.0
2023-06-22 00:00:00+00:00,29995.935546875,30495.998046875,29679.158203125,29912.28125,20653160491,0.0,0.0
2023-06-23 00:00:00+00:00,29896.3828125,31389.5390625,29845.21484375,30695.46875,24115570085,0.0,0.0
2023-06-24 00:00:00+00:00,30708.73828125,30804.1484375,30290.146484375,30548.6953125,12147822496,0.0,0.0
